1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;33;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;


5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;91;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;8;5;5;5;5;5;5;


10;10;10;10;10;10;10;10;10;10;10;10;10;10;14;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;207;10;91;15;10;10;10;10;10;10;10;10;36;10;10;10;10;10;10;10;11;10;10;10;10;10;10;10;10;10;10;10;10;80;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;14;10;10;10;10;10;10;


15;15;15;15;15;15;15;15;15;15;15;15;15;15;48;15;15;15;15;15;15;15;15;15;16;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;551;15;91;21;15;15;15;15;15;15;15;15;92;15;15;15;15;15;15;15;16;15;15;15;15;15;15;15;15;15;15;15;15;200;15;15;15;16;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;26;15;15;15;27;15;15;15;15;15;15;


20;20;20;20;20;20;20;20;20;20;20;20;20;20;64;20;20;20;20;20;20;20;20;20;21;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;622;20;91;27;20;20;20;21;20;20;20;20;219;20;20;20;20;20;20;20;22;20;20;20;20;20;20;20;20;20;20;20;20;234;20;20;20;21;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;49;20;20;20;40;20;20;20;20;20;20;


30;30;30;30;30;30;30;30;30;30;30;30;30;30;2027;30;30;30;30;30;30;30;30;33;33;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;1071;30;91;38;30;30;30;35;30;30;30;30;353;30;30;30;30;30;30;30;33;30;30;30;30;30;30;30;30;30;32;30;30;463;30;30;30;42;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;35;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;31;30;30;30;30;30;30;30;30;30;30;30;30;30;30;125;30;30;30;61;30;30;30;179;30;30;


40;40;40;40;40;40;40;40;40;40;40;40;40;40;3618;40;40;40;40;40;40;40;40;45;45;40;40;40;42;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;1452;40;91;53;40;40;40;46;40;40;40;40;485;40;40;40;40;40;40;40;45;40;40;40;40;40;40;40;40;40;52;40;41;463;40;40;40;57;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;57;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;41;40;40;40;40;40;40;40;40;40;40;40;40;40;40;171;40;40;40;82;40;40;40;327;40;40;


50;50;50;50;50;50;50;50;50;50;50;50;50;50;4901;50;50;50;50;50;50;50;50;66;62;50;50;50;56;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;1995;50;91;64;50;50;50;58;50;50;50;50;518;50;50;50;50;50;58;50;58;50;50;50;506;50;50;50;50;50;66;50;51;463;50;50;50;74;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;92;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;57;50;50;50;50;50;50;51;50;50;50;50;50;50;50;50;50;50;50;50;50;50;204;50;50;50;107;50;50;50;967;50;50;


